name,img_name,description,sketchfabEmbed
หน้าจานกลม,PC-A-EIT.png,ข้อต่อหน้าจานกลม สำหรับเป็นฐานยึดติดพื้น ผนัง หรือเพดาน ช่วยรองรับโครงสร้าง DIY ให้มั่นคงและแข็งแรง,https://sketchfab.com/models/312b4e467b264ef19cc9214fbe576c23/embed
ข้องอ 90 องศา,PC-B-EIT.png,ข้อต่อสำหรับเปลี่ยนทิศทางท่อแบบมุมฉาก 90° ใช้สร้างมุมโครงสร้าง,https://sketchfab.com/models/c2ead7a4cc824c3283a89428c92b299c/embed
สามทางฉาก,PC-C-L-EIT.png,ข้อต่อสามทางแบบมุมฉาก เชื่อมต่อท่อในแนวตั้ง–แนวนอน เหมาะกับการทำชั้นวาง โต๊ะ หรือโครงสร้างรูปทรงตัว L,https://sketchfab.com/models/b65d7f7b71c94710a84ab5820b657307/embed
สามทางตัวที,PC-C-T-EIT.png,ข้อต่อรูปตัว T สำหรับแตกแขนท่อสามทิศทาง เหมาะสำหรับเพิ่มจุดยึด หรือสร้างโครงแบบแนวขวางและแนวตั้ง,https://sketchfab.com/models/8879107e8d9a4d5bb1d0aa4ec634fdc7/embed
สามทางเอียง 45 องศา,PC-C-V-EIT.png,ข้อต่อสามทางมุมเอียง 45° ช่วยให้โครงสร้างสร้างมุมเฉียงได้อย่างแม่นยำ เหมาะกับโครงงานที่ต้องการเส้นสายแบบไดนามิก,https://sketchfab.com/models/41450f7a381c413396c5b59cbd3b8681/embed
สี่ทางจั่ว ,PC-D-J-EIT.png,ข้อต่อสี่ทางแบบทรงจั่ว ใช้สร้างจุดยอดโครงสร้าง เช่น หลังคาทรงจั่ว เฟรมทรงสามเหลี่ยม หรือโครงเหล็กดีไซน์เฉียง,https://sketchfab.com/models/5c42692664dc43568eabbd523b0a4554/embed
สี่ทางหมุน,PC-D-R-EIT.png,ข้อต่อสี่ทางแบบหมุน ปรับมุมได้อิสระ เหมาะสำหรับงานโครงสร้างที่ต้องการความยืดหยุ่นและปรับองศาได้ตามต้องการ,https://sketchfab.com/models/8a5d627f085248babfa5b6fca22782f5/embed
ห้าทางฉาก ,PC-E-L-EIT.png,ข้อต่อห้าทิศทางแบบมุมฉาก เหมาะสำหรับการต่อโครงสร้างหลายแขน เช่น โครงชั้นวางหรือเฟรมทรงกล่องที่ต้องการจุดรวมหลายด้าน,https://sketchfab.com/models/c115fc61f1584bbb8dbd413a841675c6/embed
ห้าทางประคองจั่ว,PC-E-SJ-EIT.png,ข้อต่อห้าทางสำหรับงานโครงสร้างทรงจั่ว เสริมแรงให้เฟรมหลังคาหรือเฟรมทรงสามเหลี่ยมให้มั่นคงยิ่งขึ้น,https://sketchfab.com/models/911dd92852d24750992281232e453199/embed
ห้าทางประคองข้าง,PC-E-SS-EIT.png,ข้อต่อห้าทางที่ออกแบบมาสำหรับยึดโครงด้านข้าง เพิ่มความแข็งแรงให้โครงสร้างแนวประกบหรือเฟรมที่ต้องรับแรงด้านข้าง,https://sketchfab.com/models/3b15a8813b444361b46b4a17bad71639/embed
ข้อต่อค้ำข้างเดียว,PC-G-D1-EIT.png,ข้อต่อสำหรับค้ำยันจากด้านเดียว ช่วยเสริมความแข็งแรงจุดยึดหลัก เหมาะกับงานที่ต้องการบังคับทิศทางแรงเฉียง,https://sketchfab.com/models/e2c4528b135c48048cb97bd4d345ff44/embed
กากบาทสี่ทาง,PC-G-XD4-EIT.png,ข้อต่อรูปกากบาทต่อออกสี่ทิศทาง เหมาะสำหรับงานโครงสร้างแบบตารางหรือเฟรมที่ต้องการศูนย์กลางเชื่อมหลายจุด,https://sketchfab.com/models/26c9692c31544724b0d2c016f5b1cdf0/embed
ต่อตรงยาว,PC-H-D-EIT.png,ข้อต่อตรงแบบยาว ใช้เชื่อมท่อสองท่อนในแนวเดียวกัน เหมาะสำหรับขยายความยาวโครงสร้าง,https://sketchfab.com/models/572021fddb9240bda2f9fa1a2a6c150a/embed
ข้อต่อตรงสามทาง,PC-H-D3-EIT.png,ข้อต่อตรงที่เพิ่มช่องต่อด้านข้าง เหมาะกับการเพิ่มแขนเสริม หรือแตกแนวโครงสร้างจากท่อหลัก,https://sketchfab.com/models/3edfa360bef74f128949a240b6bfd7d7/embed
ข้อต่อตรงสี่ทาง,PC-H-D4-EIT.png,ข้อต่อตรงแบบสี่ทิศทาง ช่วยให้สามารถต่อท่อตรงพร้อมแตกแขนออกหลายด้านในจุดเดียว,https://sketchfab.com/models/b7ea334b1d88415985bde74b51548b13/embed
ต่อตรงปิดหัวรู,PC-H-DEND-EIT.png,ข้อต่อสำหรับอุดปิดปลายท่อ ใช้ปิดหัวรูเพื่อความเรียบร้อย ป้องกันฝุ่น และทำให้โครงสร้างดูสมบูรณ์,https://sketchfab.com/models/eb67d197d4c442f3bc8705d0203340a0/embed
